Year;AgeGroup;NRK1;NRK2;NRK3/Super;TV 2;TV 2 Zebra;TV 2 Nyhetskanalen;TV 2 Humor;TV 2 Livsstil;TV 2 Sportskanalen;TV 2 Sport 1;TV 2 Sport 2;TV 2 Sport Premium 1;TV 2 Sport Premium 2;TVNorge;FEM;MAX;VOX;Eurosport Norge;TV3;V4;TV6;Matkanalen;Others
2020;10-19;7.1;0.86;0.97;5.02;0.59;0.86;-;0.27;-;0.32;0.16;0.51;0.05;2;0.49;0.68;0.38;0.24;1.57;0.59;0.32;0.03;3.97
2020;20-34;7.81;1.04;1.92;6.66;0.93;1.26;-;0.7;-;0.33;0.3;0.78;0.07;3.4;0.93;1.07;0.74;0.41;2.29;1.3;0.44;0.04;4.55
2020;35-44;16.49;2.28;2.89;14.06;1.9;3.95;-;1.06;-;0.53;0.38;0.84;0.08;6.23;1.98;2.58;1.37;0.68;4.56;1.9;1.22;0.15;10.79
2020;45-54;38.66;5.73;2.65;26.31;3.38;6.62;-;1.91;-;1.03;1.03;1.47;0.15;9.85;3.68;5.29;3.97;1.32;7.94;3.53;2.35;0.44;19.85
2020;55-64;75.47;10.73;2.34;35.1;2.73;7.61;-;1.76;-;0.78;0.98;1.17;0;8;3.71;3.71;5.66;1.17;7.8;2.93;2.73;0.2;20.09
2020;65-79;126.5;18.49;2.41;39.66;2.41;12.33;-;1.34;-;1.34;1.07;1.07;0.27;8.58;3.48;3.22;5.9;2.95;6.43;1.88;2.95;0.54;25.46
2020;10-79;42.13;6.02;2.24;19.94;1.89;5.07;-;1.18;-;0.71;0.59;0.94;0.12;6.14;2.24;2.71;2.83;1.06;4.84;2.01;1.53;0.24;13.45
2019;10-19;7.81;0.99;1.06;6.37;0.67;0.48;0.29;0.45;-;0.32;0.32;0.45;0.03;2.34;0.67;0.96;0.58;0.22;1.63;0.83;0.38;0.03;5.12
2019;20-34;8.3;1.44;2.59;8.69;1.01;1.01;0.86;1.15;-;0.38;0.43;1.06;0.1;4.75;1.39;1.68;0.77;0.48;2.93;2.16;0.62;0.05;6.14
2019;35-44;17.63;2.87;3.2;15.66;2.13;2.46;0.9;1.23;-;0.57;0.66;0.9;0.08;6.4;2.21;3.2;1.72;0.74;4.43;2.3;1.31;0.16;11.23
2019;45-54;36;6;2.85;30;3.75;4.5;1.05;2.4;-;0.9;1.2;1.5;0.15;10.95;4.2;5.85;4.05;1.35;7.8;3.75;3;0.3;18.3
2019;55-64;68.82;10.66;2.81;37.21;3.55;5.42;0.56;1.87;-;0.94;0.94;1.12;0;8.42;3.93;3.74;5.24;1.12;7.29;2.81;2.81;0.56;17.2
2019;65-79;103.44;18.48;2.64;40.32;2.64;12;0.24;1.2;-;1.44;1.44;1.2;0;7.2;3.12;3.36;5.76;2.88;6;1.68;2.88;0.24;21.84
2019;10-79;37.32;6.2;2.57;21.88;2.22;4.1;0.7;1.4;-;0.7;0.82;1.05;0.12;6.55;2.46;3.04;2.81;1.05;4.91;2.22;1.76;0.23;12.75
2018;10-19;8.62;0.94;1.72;8.7;0.82;0.59;0.35;0.62;0.2;0.08;0.08;-;-;3.78;0.74;1.21;0.51;0.35;1.79;1.17;0.47;0.04;6.2
2018;20-34;9.51;1.68;2.55;10.5;1.16;1.33;0.99;1.33;0.29;0.06;0.12;-;-;6.9;1.68;2.73;0.81;0.58;3.6;2.15;0.81;0.12;9.11
2018;35-44;19.5;3.5;3.86;18.4;2.02;2.3;0.83;1.01;0.46;0.09;0.09;-;-;8.74;2.21;3.86;1.84;0.83;4.6;2.58;1.38;0.18;13.8
2018;45-54;37.84;5.81;3.77;32.81;3.45;5.65;0.94;2.04;0.79;0.16;0.31;-;-;15.23;4.08;5.65;3.93;1.41;7.69;3.61;2.98;0.31;18.84
2018;55-64;72.72;10.51;3.3;41.61;3.3;6.59;0.62;1.65;0.62;0.21;0.21;-;-;14.01;3.5;4.74;4.94;1.44;7.21;3.09;3.5;0.62;21.84
2018;65-79;105.16;18.8;2.79;41.66;2.29;13.97;0.25;1.27;1.02;0.25;0.25;-;-;13.21;3.3;4.06;5.08;3.05;5.59;2.29;3.81;0.25;25.91
2018;10-79;38.74;6.35;3.05;24.13;2.03;4.7;0.76;1.27;0.51;0.13;0.25;-;-;10.03;2.54;3.68;2.67;1.27;4.95;2.41;2.03;0.25;15.37
